"","ID","List","Type","Pair.x","Word","Correct.x","Confidence.x","Tiredness","Enjoyment","Pair.y","Correct.y","Confidence.y","Select1","Select2","Select3"
"65",2463945,1,"MP",19,"furets",1,5,4,5,19,0,2,FALSE,FALSE,FALSE
"66",2463945,1,"MP",23,"peney",1,7,5,5,23,0,3,FALSE,FALSE,FALSE
"67",2463945,1,"MP",27,"teson",1,7,4,5,27,1,6,FALSE,FALSE,FALSE
"68",2463945,1,"MP",32,"goler",1,6,4,5,32,0,4,FALSE,FALSE,FALSE
"69",2463945,1,"MP",34,"lonay",1,7,5,5,34,1,6,FALSE,FALSE,FALSE
"70",2463945,1,"MP",39,"bovy",1,5,5,5,39,0,3,FALSE,FALSE,FALSE
"71",2463945,1,"MP",47,"vazan",1,7,4,5,47,0,2,FALSE,FALSE,FALSE
"72",2463945,1,"MP",48,"cyche",1,8,5,6,48,0,3,FALSE,FALSE,FALSE
"73",2463945,1,"MP",49,"rodder",1,7,5,5,49,0,3,FALSE,FALSE,FALSE
"74",2463945,1,"MP",51,"forem",1,7,4,5,51,1,6,FALSE,FALSE,FALSE
"75",2463945,1,"MP",53,"reebin",1,8,5,6,53,1,4,FALSE,FALSE,FALSE
"76",2463945,1,"MP",55,"heco",0,4,5,5,55,0,4,FALSE,FALSE,FALSE
"77",2463945,1,"MP",61,"raymive",1,2,4,5,61,0,3,FALSE,FALSE,FALSE
"78",2463945,1,"MP",62,"ceakie",1,7,5,5,62,1,5,FALSE,FALSE,FALSE
"79",2463945,1,"MP",64,"coctee",1,6,4,5,64,0,5,FALSE,FALSE,FALSE
"80",2463945,1,"MP",67,"lopel",1,6,4,5,67,0,5,FALSE,FALSE,FALSE
"81",2464916,1,"MM",2,"cavy",1,7,4,7,2,0,2,FALSE,FALSE,FALSE
"82",2464916,1,"MM",3,"perste",1,6,4,5,3,1,3,FALSE,FALSE,FALSE
"83",2464916,1,"MM",5,"muden",1,8,5,7,5,1,3,FALSE,FALSE,FALSE
"84",2464916,1,"MM",9,"pidekin",1,6,4,6,9,0,2,FALSE,FALSE,FALSE
"85",2464916,1,"MM",20,"bipin",1,5,4,6,20,0,3,FALSE,FALSE,FALSE
