"","ID","PublicID","gender","Age","category"
"103",2945520,"qklzy21x","Male",13.9166666666667,"12-14"
"104",2945744,"hh3v55ir","Female",17.0833333333333,"16-18"
"105",2946353,"93zdaelu","Female",17.4166666666667,"16-18"
"106",2946886,"wl6ybvx1","Male",10.9166666666667,"10-12"
"107",2946965,"nftsvjwc","Female",10.6666666666667,"10-12"
"108",2946982,"nrn4fl4b","Male",11.4166666666667,"10-12"
"109",2946975,"3dcuvp1c","Male",15.6666666666667,"14-16"
"110",2947197,"l1zvztam","Male",10.9166666666667,"10-12"
"111",2947256,"8o5j7nx3","Female",13.0833333333333,"12-14"
"112",2947288,"v792agl2","Female",11.3333333333333,"10-12"
"113",2947291,"jxhbk6kc","Male",10.6666666666667,"10-12"
"114",2947284,"xhrsdisc","Male",12.4166666666667,"12-14"
"115",2939643,"ju0gtjpc","Male",11.9166666666667,"10-12"
"116",2947522,"hk1qifd7","Female",17.9166666666667,"16-18"
"117",2947623,"yg0wykfr","Male",10.1666666666667,"10-12"
"118",2947712,"82vfhe81","Female",10.5,"10-12"
"119",2947842,"wu091el0","Male",11.8333333333333,"10-12"
"120",2947943,"0lutl4sz","Female",11.5833333333333,"10-12"
"121",2948112,"y2i68yao","Female",14.75,"14-16"
"122",2947696,"dyoae930","Male",13.25,"12-14"
"123",2948245,"552ov8a9","Female",16.5833333333333,"16-18"
"124",2950548,"itmhu65h","Female",10.75,"10-12"
"125",2950597,"g29cod2t","Male",13.0833333333333,"12-14"
"126",2950905,"p3sykpt7","Male",12.25,"12-14"
"127",2951458,"4z76gtw3","Female",11.5833333333333,"10-12"
"128",2951687,"o7un2flc","Female",10.6666666666667,"10-12"
"129",2951905,"57ct14ej","Male",10.25,"10-12"
"130",2952076,"xzep7jha","Male",10.5,"10-12"
"131",2952261,"m7djuhe5","Female",17.6666666666667,"16-18"
"132",2952844,"4nn8uhl3","Female",10.8333333333333,"10-12"
"133",2954086,"2u5ivggw","Female",18,"16-18"
"134",2954649,"9bp4byzj","Female",17.25,"16-18"
"135",2954919,"fqihnw6a","Male",10.5,"10-12"
"136",2956860,"wi1gekkq","Female",10.25,"10-12"
"137",2956959,"lbfajccx","Female",16.25,"16-18"
"138",2957577,"q1679ph7","Female",15.25,"14-16"
"139",2957654,"07l9ye4w","Male",16.5833333333333,"16-18"
"140",2957906,"koafc4mr","Female",17.1666666666667,"16-18"
"141",2958080,"vgf3b1ly","Female",17.1666666666667,"16-18"
"142",2958729,"rmdsogy2","Female",17.4166666666667,"16-18"
"143",2959128,"ukoba6hj","Female",16.8333333333333,"16-18"
"144",2966936,"bf3n5hkp","Female",10.0833333333333,"10-12"
"145",2967525,"mp7o9459","Female",11.0833333333333,"10-12"
"146",2969322,"brkm6f96","Female",10.0833333333333,"10-12"
"147",2969805,"pnl61rwb","Female",12.4166666666667,"12-14"
"148",2970037,"bn9miag9","Male",10.25,"10-12"
"149",2970090,"r1wv5rpi","Male",11.1666666666667,"10-12"
"150",2972533,"czcr9p0x","Male",10.1666666666667,"10-12"
"151",2973141,"5f2onn6v","Male",12.8333333333333,"12-14"
"152",2975534,"e45z1mfj","Female",17.5833333333333,"16-18"
"153",2975680,"upab200u","Female",17.5833333333333,"16-18"
"154",2976358,"pcfqq71o","Male",12.3333333333333,"12-14"
"155",2977844,"v6io7tx6","Female",13.25,"12-14"
"156",2978117,"9neakcs7","Female",10.0833333333333,"10-12"
"157",2978172,"vtkh57wj","Female",11.3333333333333,"10-12"
"158",2978495,"ux7t7arz","Female",17.4166666666667,"16-18"
"159",2978868,"hlv7v6xr","Male",11.1666666666667,"10-12"
"160",2983164,"2nuazs7f","Female",10.4166666666667,"10-12"
"161",2983413,"21xxbfkf","Female",10.4166666666667,"10-12"
"162",2983727,"oph9m2vv","Male",14.5833333333333,"14-16"
"163",2984174,"6800dg61","Female",15.3333333333333,"14-16"
"164",2984934,"5knxpdc8","Female",10.5833333333333,"10-12"
"165",2985213,"tx0oz8d4","Female",16.5833333333333,"16-18"
"166",2987065,"euksrrr9","Female",10.9166666666667,"10-12"
"167",2992128,"yyx4if8d","Female",12.25,"12-14"
"168",2995509,"639avr5c","Female",11.0833333333333,"10-12"
"169",2996657,"yzli2sbx","Female",10.1666666666667,"10-12"
"170",2997243,"nhw5no87","Female",10.8333333333333,"10-12"
"171",2999054,"dts8mrtd","Female",10.5,"10-12"
"172",2999183,"v5he5e95","Female",11.0833333333333,"10-12"
"173",2999265,"sbg7n5yd","Female",10.6666666666667,"10-12"
"174",3002620,"12xnps8b","Male",13.1666666666667,"12-14"
"175",3002663,"p92a3m6q","Female",14.9166666666667,"14-16"
"176",3002690,"2f5f7pjr","Female",15.3333333333333,"14-16"
"177",3002953,"0qgj6apr","Male",14.5833333333333,"14-16"
"178",3002993,"jn7mjrru","Male",13.4166666666667,"12-14"
"179",3003038,"uvan5qbj","Female",16.1666666666667,"16-18"
"180",3003355,"9onadcnl","Male",15.5833333333333,"14-16"
"181",3003504,"p6qlikkj","Male",15.25,"14-16"
"182",3005081,"qtgzpcgy","Female",14.5,"14-16"
"183",3005195,"yjvilhyk","Female",17.25,"16-18"
"184",3005678,"orygrxeh","Male",16.9166666666667,"16-18"
"185",3005920,"1fop9ju0","Male",12.75,"12-14"
"186",3006937,"a8k7poa9","Female",14.9166666666667,"14-16"
"187",3006995,"4ze6nuu2","Male",12.3333333333333,"12-14"
"188",3006989,"wk9q1kvf","Male",12.5,"12-14"
"189",3007657,"7hx0i2hy","Female",17.25,"16-18"
"190",3007958,"as6wtz3i","Female",12.75,"12-14"
"191",3008735,"4vibj4ic","Male",12.8333333333333,"12-14"
"192",3008825,"mvjzgk2z","Female",17.4166666666667,"16-18"
"193",3008963,"03keyqpi","Female",12.9166666666667,"12-14"
"194",3009379,"k7lwa2a3","Female",12.9166666666667,"12-14"
"195",3011706,"pbhy39g9","Male",16.6666666666667,"16-18"
"196",3012005,"q0h370m0","Male",12.5,"12-14"
"197",3012658,"xc37j0ox","Male",12.9166666666667,"12-14"
"198",3012881,"qfwnqqtt","Male",12.1666666666667,"12-14"
"199",3014159,"gq5s8zfc","Female",15.0833333333333,"14-16"
"200",3014432,"f46o0881","Female",12.6666666666667,"12-14"
"201",3014560,"45ga34kp","Male",11.1666666666667,"10-12"
"202",3014808,"387jvfr2","Male",15,"14-16"
"203",3015191,"qbne6hmp","Male",14.9166666666667,"14-16"
"204",3015471,"hl0jm35b","Female",11.4166666666667,"10-12"
"205",3016183,"f4j2zp5q","Male",13.8333333333333,"12-14"
"206",3016872,"3rpgydn5","Male",13.8333333333333,"12-14"
"207",3019556,"ldt8etv7","Male",11.9166666666667,"10-12"
"208",3019652,"r91drq96","Male",10.25,"10-12"
"209",3020244,"yvdtgeld","Female",16.25,"16-18"
"210",3020388,"go6vh1kx","Female",17.5,"16-18"
"211",3023338,"w5rww09g","Male",12.75,"12-14"
"212",3023448,"feflzzwm","Male",10.9166666666667,"10-12"
"213",3023638,"tfipkjha","Female",11,"10-12"
"214",3026036,"isyjmrlz","Female",17.25,"16-18"
"215",3026063,"82zbcpvw","Female",17.3333333333333,"16-18"
"216",3026084,"a8w0ii60","Female",10.6666666666667,"10-12"
"217",3026112,"6y76biem","Female",16.8333333333333,"16-18"
"218",3026898,"y0vfcwvt","Female",16.9166666666667,"16-18"
"219",3025956,"c0joubde","Female",17.25,"16-18"
"220",3027828,"tgez0nxy","Female",17.3333333333333,"16-18"
"221",3028333,"xo8erwvc","Female",17.1666666666667,"16-18"
"222",3028423,"qnczw63m","Female",17.25,"16-18"
"223",3028541,"kq9vfk4c","Male",14.6666666666667,"14-16"
"224",3027849,"h84xl65g","Female",17.25,"16-18"
"225",3029375,"njv3rc9t","Female",17.5,"16-18"
"226",3029503,"qknehh62","Female",16.5,"16-18"
"227",3029705,"cp4sfa9t","Male",16.5,"16-18"
"228",3029901,"3ytoa6gf","Female",16.9166666666667,"16-18"
"229",3030258,"km6i7odd","Female",12.8333333333333,"12-14"
"230",3030636,"btda3ktw","Female",12.8333333333333,"12-14"
"231",3030868,"gw7qmd2w","Female",17.1666666666667,"16-18"
"232",3030850,"qimu0a9n","Female",16.5,"16-18"
"233",3030997,"94xrqc3n","Male",11,"10-12"
"234",3031168,"indsp387","Female",16.9166666666667,"16-18"
"235",3028562,"7fz5se12","Female",17.4166666666667,"16-18"
"236",3033225,"twkndbx6","Female",16.75,"16-18"
"237",3033745,"0n0llozy","Male",11.1666666666667,"10-12"
"238",3034359,"jrm389l6","Female",17.1666666666667,"16-18"
"239",3035182,"ejvpr6hh","Male",11.6666666666667,"10-12"
"240",3034243,"u247ximb","Female",15.0833333333333,"14-16"
"241",3036041,"u3uw1xab","Male",15.6666666666667,"14-16"
"242",3036326,"gty17m1y","Female",15.0833333333333,"14-16"
"243",3036468,"mqdwi9ke","Female",15.0833333333333,"14-16"
"244",3036803,"5o64iiq4","Female",16.6666666666667,"16-18"
"245",3038496,"vwq1ych9","Female",14.3333333333333,"14-16"
"246",3038733,"60you0kh","Female",16.3333333333333,"16-18"
"247",3039093,"g3vwixpn","Female",17.25,"16-18"
"248",3040003,"09nmr662","Female",17.3333333333333,"16-18"
"249",3040058,"65jcmg8j","Male",12.3333333333333,"12-14"
"250",3040273,"baeosax6","Female",16.5833333333333,"16-18"
"251",3040661,"p89zkzla","Male",12.5833333333333,"12-14"
"252",3040715,"v71lvy89","Female",15.8333333333333,"14-16"
"253",3041082,"dshi0n9j","Female",17,"16-18"
"254",3043455,"zdrmc4kr","Female",17.4166666666667,"16-18"
"255",3046996,"e8lbzn0r","Male",11.0833333333333,"10-12"
"256",3047500,"oszcrbwq","Male",16.3333333333333,"16-18"
"257",3047501,"xeyn1fsm","Female",16.5833333333333,"16-18"
"258",3047746,"wjoskd4w","Male",10.3333333333333,"10-12"
"259",3048131,"ron8gyah","Female",10.4166666666667,"10-12"
"260",3048303,"lodt20q8","Male",17.8333333333333,"16-18"
"261",3049942,"zzqsmhaw","Female",17,"16-18"
"262",3052346,"cv82x9j6","Female",16.1666666666667,"16-18"
"263",3054111,"h8pbyug8","Male",16.3333333333333,"16-18"
"264",3054260,"rba4cqmn","Female",17.3333333333333,"16-18"
"265",3054442,"agafjreo","Female",17.9166666666667,"16-18"
"266",3058616,"l3aovkvb","Male",16.3333333333333,"16-18"
"267",3058743,"7m2ujgi9","Male",16.3333333333333,"16-18"
"268",3058856,"niby37mq","Female",10.75,"10-12"
"269",3063803,"4p8xssup","Male",10.9166666666667,"10-12"
"270",3063898,"qcth1uwa","Female",12.3333333333333,"12-14"
"271",3065067,"nqpfw0k8","Male",13.9166666666667,"12-14"
"272",3065353,"6g2tsvn7","Female",17.4166666666667,"16-18"
"273",3066200,"bnc8tsto","Female",10.8333333333333,"10-12"
"274",3069795,"tvmmmv50","Female",16.9166666666667,"16-18"
"275",3080794,"zfvwtl7r","Female",18,"16-18"
"276",3081504,"ooe3hgr4","Male",13.75,"12-14"
"277",3082098,"siks1y39","Male",16.1666666666667,"16-18"
"278",3082438,"qofj4udo","Male",10.4166666666667,"10-12"
"279",3082863,"t8stjoa9","Female",13.4166666666667,"12-14"
"280",3085312,"l2pililh","Female",16.5833333333333,"16-18"
"281",3085737,"o9c32im5","Male",10.75,"10-12"
"282",3086303,"1i5lg9vt","Female",12.6666666666667,"12-14"
"283",3089169,"ye37znjl","Female",17.3333333333333,"16-18"
"284",3089556,"n7o5w0gm","Male",10.6666666666667,"10-12"
"285",3089788,"gnr68vpt","Male",12.0833333333333,"12-14"
"286",3090583,"qj7zw071","Female",17.3333333333333,"16-18"
"287",3093936,"fx0iqpvx","Female",17.1666666666667,"16-18"
"288",3097928,"hzgju6f8","Female",10.9166666666667,"10-12"
"289",3098025,"7acffhel","Male",12.1666666666667,"12-14"
"290",3108029,"yr40jpmv","Female",12.6666666666667,"12-14"
"291",3108575,"fpbh5qa9","Male",11.0833333333333,"10-12"
"292",3114875,"3faug0yp","Rather not say",17,"16-18"
"293",3117935,"mgxo7sw2","Male",16.8333333333333,"16-18"
"294",3119612,"xlounhn5","Male",15.8333333333333,"14-16"
"295",3126045,"s918qvqx","Female",13.9166666666667,"12-14"
"296",3130083,"6e8yzpra","Male",13.6666666666667,"12-14"
"297",3131193,"fsxatj1i","Female",10.6666666666667,"10-12"
"298",3133156,"o6v8o4b6","Female",12,"12-14"
"299",3134798,"s7wsulei","Female",15.3333333333333,"14-16"
"300",3135629,"bq3ygum5","Male",14.0833333333333,"14-16"
"301",3136039,"qo9dldrk","Female",15.75,"14-16"
"302",3138904,"cnypxeib","Male",10.9166666666667,"10-12"
"303",3142391,"buy8zqtx","Female",11.25,"10-12"
"304",3142930,"uj33nqcm","Female",15.8333333333333,"14-16"
"305",3143933,"atuabwc6","Female",11.4166666666667,"10-12"
"306",3147191,"fpfl2smj","Female",17.3333333333333,"16-18"
"307",3147485,"b77s6fb5","Female",16.5833333333333,"16-18"
"308",3147521,"ydwva9i4","Female",14.3333333333333,"14-16"
"309",3149508,"skxl1ow9","Male",17,"16-18"
"310",3159035,"zyc81v6u","Male",13.75,"12-14"
"311",3176771,"esmz9uar","Male",11.1666666666667,"10-12"
"312",3177773,"kxup5igd","Female",13.8333333333333,"12-14"
"313",3201645,"krwuqabc","Female",16.0833333333333,"16-18"
"314",3219477,"w0zj295c","Male",10.25,"10-12"
"315",3223045,"o9ls5off","Female",10.4166666666667,"10-12"
"316",3223848,"ao1gqaz8","Female",11.4166666666667,"10-12"
"317",3223976,"kdcq0gxh","Male",10.5,"10-12"
"318",3224052,"py8zwaem","Female",17.9166666666667,"16-18"
"319",3224452,"r2smb1mu","Female",18,"16-18"
"320",3224975,"qwg3eeev","Male",14.9166666666667,"14-16"
"321",3225054,"p1y2nzpo","Female",14.9166666666667,"14-16"
"322",3225147,"9lpicx2o","Female",12.5833333333333,"12-14"
"323",3225606,"wrgn3k19","Female",10.5833333333333,"10-12"
"324",3226083,"e73p6wyl","Female",13.75,"12-14"
"325",3226877,"a7n8kczc","Male",13.3333333333333,"12-14"
"326",3228133,"455faik5","Male",12.5,"12-14"
"327",3228426,"vei1z8vb","Male",15.4166666666667,"14-16"
"328",3228574,"ywbv2v95","Female",16,"16-18"
"329",3228918,"pzxlqx24","Female",16.9166666666667,"16-18"
"330",3229654,"kutbx1yb","Female",10.8333333333333,"10-12"
"331",3231659,"1fvwh9kb","Female",13.0833333333333,"12-14"
"332",3233953,"u545jyjy","Male",12,"12-14"
"333",3239259,"41l9own7","Male",16.25,"16-18"
"334",3239644,"n736hij5","Male",12.1666666666667,"12-14"
"335",3240083,"132d5ein","Female",16.6666666666667,"16-18"
"336",3240214,"4xf5xpge","Female",17.0833333333333,"16-18"
